sd_id	dc_release_id	sd_artist	dc_artist	dc_artist_id	sd_record_label	dc_record_label	sd_label_cat_no	dc_label_cat_no	sd_title	dc_title	dc_country	dc_year	dc_decade	dc_genres	dc_styles
5595817	5112067	Members of the Perez Prado Orchestra, Bobby Gill conducting	Members Of The Perez Prado Orchestra	1217166	Crown	Crown Records (2)	CLP 5106	CLP 5106	Mambo jambo	Prado Mania	US	1959	50	Latin	Mambo
5220959	10506951	[read by] Claire Bloom [and] Claude Rains	Claire Bloom	597358	Caedmon	Caedmon Records	TC 1085	TC 1085	The song of songs :	The Song Of Songs And Heloise And Abelard	US	1957	50	Non-Music	Spoken Word
5385003	5214842	[music composed and conducted by Franz Waxman]	Franz Waxman	347355	United Artists	United Artists Records	UAL 4100	UAL 4100C	Taras Bulba :	Taras Bulba (Original Music From The Motion Picture)	US	1962	60	Stage & Screen	Soundtrack
5481965	8843327		Various	194	RCA Victor	RCA Special Products	PRS 395	PRS 395	Turn back the hands of time.	Turn Back The Hands Of Time	Canada	1972	70	Pop; Folk, World, & Country	Country; Vocal
4527804	1983971		Billy Vaughn	380915	Dot	Dot Records	DLP 3119	DLP 3119	Billy Vaughn plays the million sellers.	Billy Vaughn Plays The Million Sellers	US	1958	50	Jazz; Folk, World, & Country	Easy Listening
4763376	2994098	Alan Black Schackner	Alan Black Schackner	2333809	RCA Camden	RCA Camden	CAS-2378	CAS-2378	Yesterday, when I was young	Yesterday, When I Was Young	US	1970	70	Jazz	Easy Listening
194480	2936374	Miles Davis	Miles Davis	23755	Columbia	Columbia	CL 2453	CL 2453	"Four"" & more"	'Four' & More - Recorded Live In Concert	US	1966	60	Jazz	Hard Bop; Modal
6555628	10480467		Teddy Phillips And His Orchestra	1029405	King	King Records (3)	1333	1333	The Laughing Saxophone ; Please Unlock the Door.	The Laughing Saxophone / Please Unlock The Door	US	1954	50	Pop	Vocal
6555505	10480467		Teddy Phillips And His Orchestra	1029405	King	King Records (3)	1333	1333	The Laughing Saxophone ; Please Unlock the Door.	The Laughing Saxophone / Please Unlock The Door	US	1954	50	Pop	Vocal
6569345	2126001	R. Charles	Everly Brothers	145071	Cadence	Cadence (2)	1342	1342	This little girl of mine ;	This Little Girl Of Mine / Should We Tell Him	US	1958	50	Rock; Pop	Vocal
6567906	5798500	Mimi Martel ; Ronnie Deauville	The Rhythmaires	938656	Tops	Tops Records	R248	45-R248-49	Mr. Sandman ; Hajji baba  ;	Mr. Sandman	US	1954	50	Jazz; Pop	Vocal
6567915	10560421	Chaplin	The Les Morgan Orchestra	1782518	Tops	Tops Records	365	45-365	Limelight ;	Ruby / Limelight (Terry's Theme)	US	1957	50	Jazz; Brass & Military	Big Band
6567953	2745225	William Monroe	Del Gillman And His Bar X Boys	2147138	Tops	Tops Records	289	45-289	Kentucky waltz ;	Kentucky Waltz / Bluebird Island	US	1951	50	Pop	Vocal
6743104	1558665	Gerdundula / Manston, James	Status Quo	103064	Pye Records	Pye Records	BD 103	BD 103	Down the dustpipe	Down The Dustpipe	UK	1977	70	Rock	Hard Rock
6743248	1558624	Vivabeat, Garman. On patrol / Vivabeat	Vivabeat	442830	Charisma Records	Charisma	CB 355-12	CB 355-12	Man from China	Man From China	UK	1979	70	Electronic; Rock	New Wave; Pop Rock
6741354	7582410		Vic Damone	275681	Capitol	Capitol Custom	PB-2273	PB-2272 / PB-2273	Vic Damone swings with A & W.	Vic Damone Swings With A&W	US	1963	60	Pop	Vocal
6751028	3600618		Creedence Clearwater Revival	252102	Fantasy Records	Fantasy	CCR-1-2	CCR-1-2	Creedence Clearwater Revival live in Europe.	Live In Europe	Spain	1974	70	Rock	Pop Rock; Classic Rock
6666673	1861650	 John Lennon ; Paul McCartney	The Beatles	82730	Capitol Records	Capitol Records	5371	5371	I don't want to spoil the party ;	Eight Days A Week/I Don't Want To Spoil The Party	US	1965	60	Rock	Beat; Rock & Roll
6660781	8520006		Guy Lombardo And His Royal Canadians	349506	Reader's Digest	Reader's Digest	2-729	2-729-0	The Best of Guy Lombardo, and his Royal Canadians :	The Best Of Guy Lombardo And His Royal Canadians	Canada	1975	70	Jazz	Big Band
5821539	8567826		Morton Subotnick	32196	Columbia	Columbia Masterworks	M 30683	M 30683	Sidewinder.	Sidewinder	US	1971	70	Electronic	Abstract; Experimental
60903	8200093		The Fifes & Drums	3999042	Colonial Williamsburg Foundation	Colonial Williamsburg Foundation	WS 109	WS 109	A concert of military music.	A Concert Of Military Music	US	1978	70	Brass & Military	Pipe & Drum
4533541	1152173	Idris Muhammad	Idris Muhammad	42195	Kudu	Kudu	KU-34	KU-34	Turn this mutha out	Turn This Mutha Out	US	1977	70	Jazz	Jazz-Funk
4452445	669525		Various	194	K-tel	K-Tel	TU 2560	TU 2560	Music Machine.	Music Machine	US	1977	70	Electronic; Rock; Funk / Soul; Pop	Soft Rock; Pop Rock; Disco; Classic Rock
6549380	4316420	Rex Allen, Dave Bohne. Crying in the chapel / Artie Glenn	Rex Allen	602849	Decca	Decca	28758	9-28758	I thank the Lord	Crying In The Chapel	US	1953	50	Folk, World, & Country	Country
